country,year,region,income_group,pc1,pc2,cluster
Singapore,2012,East Asia & Pacific,High income,0.6623054086328057,-2.5290710129561575,0
Singapore,2013,East Asia & Pacific,High income,0.7467662611865161,-2.8216101369892015,0
Singapore,2014,East Asia & Pacific,High income,0.722907458500186,-2.6880042823090715,0
Singapore,2015,East Asia & Pacific,High income,0.8508627654647183,-2.633696505384375,0
Singapore,2016,East Asia & Pacific,High income,1.314596940699688,-2.258078556996367,3
Singapore,2017,East Asia & Pacific,High income,1.8668961747729964,-1.9296661215679496,3
Singapore,2018,East Asia & Pacific,High income,2.21222655418701,-1.8391685300276095,3
Singapore,2019,East Asia & Pacific,High income,2.592476208052783,-1.6558392425548183,3
Singapore,2020,East Asia & Pacific,High income,2.8569301429019744,-1.5736171560198366,3
Singapore,2021,East Asia & Pacific,High income,3.1450953731723006,-1.8950467574653007,3
Singapore,2022,East Asia & Pacific,High income,3.063707340620643,-2.1759564849676116,3
Singapore,2023,East Asia & Pacific,High income,3.3473727148876513,-1.9199565177493771,3
Singapore,2024,East Asia & Pacific,High income,3.229323347803801,-2.0432839757230226,3
South Africa,2010,Sub-Saharan Africa,Upper middle income,-4.360271943904393,0.4706136554153806,2
South Africa,2011,Sub-Saharan Africa,Upper middle income,-4.18995124635337,-0.0396146651151789,2
South Africa,2012,Sub-Saharan Africa,Upper middle income,-3.888173154658128,0.0752983500109528,2
South Africa,2013,Sub-Saharan Africa,Upper middle income,-3.925728893452016,-0.281720842885811,2
South Africa,2014,Sub-Saharan Africa,Upper middle income,-3.870426553633521,-0.2880486053921202,2
South Africa,2015,Sub-Saharan Africa,Upper middle income,-3.7884669653546985,-0.4292790527542309,2
South Africa,2016,Sub-Saharan Africa,Upper middle income,-3.260551667698076,0.1930983548792131,2
South Africa,2017,Sub-Saharan Africa,Upper middle income,-3.011619099895493,0.0944811716178985,2
South Africa,2018,Sub-Saharan Africa,Upper middle income,-2.873514300513749,-0.0504647578993586,2
South Africa,2019,Sub-Saharan Africa,Upper middle income,-2.375510124915455,0.2930641924595186,2
South Africa,2020,Sub-Saharan Africa,Upper middle income,-2.7362175581232613,-0.1411386187950683,2
South Africa,2021,Sub-Saharan Africa,Upper middle income,-2.691929737166942,-0.3705519225354307,2
South Africa,2022,Sub-Saharan Africa,Upper middle income,-2.8013989916666904,-0.3775328855910944,2
South Africa,2023,Sub-Saharan Africa,Upper middle income,-2.854865120593479,-0.4368245215398805,2
South Africa,2024,Sub-Saharan Africa,Upper middle income,-2.8086577044935885,-0.4567538131566723,2
South Korea,2010,East Asia & Pacific,High income,0.6942894645800213,-1.1910377649228288,3
South Korea,2011,East Asia & Pacific,High income,1.1379885218525003,-0.9746757975402528,3
South Korea,2012,East Asia & Pacific,High income,1.2763577195879805,-1.032851896333406,3
South Korea,2013,East Asia & Pacific,High income,1.482848624702379,-0.9047209154095408,3
South Korea,2014,East Asia & Pacific,High income,1.8483505068569208,-0.7612895958410397,3
South Korea,2015,East Asia & Pacific,High income,1.9637018030393267,-0.7668929816598558,3
South Korea,2016,East Asia & Pacific,High income,2.159801521548779,-0.776339830032471,3
South Korea,2017,East Asia & Pacific,High income,2.8273757753575044,-0.6094478149206508,3
South Korea,2018,East Asia & Pacific,High income,3.375600827795233,-0.4741049522808702,3
South Korea,2019,East Asia & Pacific,High income,3.3954355772644873,-0.5382066088317118,3
South Korea,2020,East Asia & Pacific,High income,3.236533815271212,-0.8357426966537665,3
South Korea,2021,East Asia & Pacific,High income,3.9230200865353377,-0.6158558458575843,3
South Korea,2022,East Asia & Pacific,High income,3.9057190410577394,-0.7684956078455369,3
South Korea,2023,East Asia & Pacific,High income,4.285992479284472,-0.6599116237203999,3
South Korea,2024,East Asia & Pacific,High income,4.698535359228841,-0.4039652494357703,3
Spain,2010,Europe & Central Asia,High income,-1.392085588154048,-0.2993671491651984,0
Spain,2011,Europe & Central Asia,High income,-1.3578891592742508,-0.3868477053638171,0
Spain,2012,Europe & Central Asia,High income,-1.184216050226993,-0.2101173764949648,0
Spain,2013,Europe & Central Asia,High income,-1.1034953068575242,-0.2164848666345485,0
Spain,2014,Europe & Central Asia,High income,-1.0103230731421802,-0.3419666577144959,0
Spain,2015,Europe & Central Asia,High income,-0.6451735009500171,-0.1682911619299534,0
Spain,2016,Europe & Central Asia,High income,-0.6037356852445802,-0.3624958973535474,0
Spain,2017,Europe & Central Asia,High income,-0.4179054905513668,-0.3451319088212538,0
Spain,2018,Europe & Central Asia,High income,-0.0458713527650474,-0.2421785396361902,0
Spain,2019,Europe & Central Asia,High income,0.0832659486254007,-0.2497614293205487,0
Spain,2020,Europe & Central Asia,High income,0.2788291674285886,-0.3042589522633792,0
Spain,2021,Europe & Central Asia,High income,0.8181521357555186,-0.2430143603416746,3
Spain,2022,Europe & Central Asia,High income,0.7646073738635434,-0.3742270834565661,3
Spain,2023,Europe & Central Asia,High income,0.7464050064528849,-0.4623889431388311,3
Spain,2024,Europe & Central Asia,High income,1.1205399747032587,0.0704048071830543,3
Sweden,2010,Europe & Central Asia,High income,1.1152886604445718,-1.3937734238562596,3
Sweden,2011,Europe & Central Asia,High income,1.1529484337640714,-1.4948504298199277,3
Sweden,2012,Europe & Central Asia,High income,1.157896273447611,-1.4545980306816408,3
Sweden,2013,Europe & Central Asia,High income,1.572562771938407,-1.411816047280782,3
Sweden,2014,Europe & Central Asia,High income,1.3839448962903087,-1.552272774448949,3
Sweden,2015,Europe & Central Asia,High income,1.77064847104947,-1.2334270226405186,3
Sweden,2016,Europe & Central Asia,High income,1.8638015367588057,-1.1816578364073016,3
Sweden,2017,Europe & Central Asia,High income,1.9665459537235015,-1.212480159218382,3
Sweden,2018,Europe & Central Asia,High income,2.0762588506879163,-1.205729483781029,3
Sweden,2019,Europe & Central Asia,High income,2.3640242566233973,-1.2628009334120238,3
Sweden,2020,Europe & Central Asia,High income,2.3084509328207825,-1.349839399797861,3
Sweden,2021,Europe & Central Asia,High income,2.8762885991207443,-1.213856187978019,3
Sweden,2022,Europe & Central Asia,High income,2.8081637006848816,-1.3061755907052244,3
Sweden,2023,Europe & Central Asia,High income,3.2347875803738564,-0.9947474245021318,3
Sweden,2024,Europe & Central Asia,High income,3.343757610216412,-0.9070201815398709,3
Switzerland,2010,Europe & Central Asia,High income,0.4108752590399666,-1.22093402096693,0
Switzerland,2011,Europe & Central Asia,High income,0.5207168290482739,-1.2628805558345844,0
Switzerland,2012,Europe & Central Asia,High income,0.4219736447452068,-1.4821781542508126,0
Switzerland,2013,Europe & Central Asia,High income,0.8104703029272142,-1.2526580350376202,3
Switzerland,2014,Europe & Central Asia,High income,1.14718064562831,-0.9091164302984888,3
